IDMesa,Freguesia,Partido,Votos Junta
97,Gambia Pontes e Alto da Guerra,Partido C,352
98,Uniao de Freguesias de Azeitao,Partido C,110
98,Uniao de Freguesias de Azeitao,Partido G,10
98,Uniao de Freguesias de Azeitao,Partido E,59
98,Uniao de Freguesias de Azeitao,Partido A,99
98,Uniao de Freguesias de Azeitao,Partido F,45
99,Uniao de Freguesias de Azeitao,Partido C,80
99,Uniao de Freguesias de Azeitao,Partido G,8
99,Uniao de Freguesias de Azeitao,Partido E,23
99,Uniao de Freguesias de Azeitao,Partido A,44
99,Uniao de Freguesias de Azeitao,Partido F,65
100,Uniao de Freguesias de Azeitao,Partido C,56
100,Uniao de Freguesias de Azeitao,Partido G,0
100,Uniao de Freguesias de Azeitao,Partido E,8
100,Uniao de Freguesias de Azeitao,Partido A,40
100,Uniao de Freguesias de Azeitao,Partido F,52
101,Uniao de Freguesias de Azeitao,Partido C,308
101,Uniao de Freguesias de Azeitao,Partido G,5
101,Uniao de Freguesias de Azeitao,Partido E,29
101,Uniao de Freguesias de Azeitao,Partido A,46
101,Uniao de Freguesias de Azeitao,Partido F,153
102,Uniao de Freguesias de Azeitao,Partido C,232
102,Uniao de Freguesias de Azeitao,Partido G,11
102,Uniao de Freguesias de Azeitao,Partido E,53
102,Uniao de Freguesias de Azeitao,Partido A,72
102,Uniao de Freguesias de Azeitao,Partido F,89
103,Uniao de Freguesias de Azeitao,Partido C,147
103,Uniao de Freguesias de Azeitao,Partido G,8
103,Uniao de Freguesias de Azeitao,Partido E,28
103,Uniao de Freguesias de Azeitao,Partido A,59
103,Uniao de Freguesias de Azeitao,Partido F,58
