IDMesa,Freguesia,Partido,Votos Camara
79,Uniao de Freguesias de Setubal,Partido E,21
79,Uniao de Freguesias de Setubal,Partido B,8
79,Uniao de Freguesias de Setubal,Partido D,1
80,Uniao de Freguesias de Setubal,Partido A,117
80,Uniao de Freguesias de Setubal,Partido G,7
80,Uniao de Freguesias de Setubal,Partido F,151
80,Uniao de Freguesias de Setubal,Partido C,260
80,Uniao de Freguesias de Setubal,Partido E,29
80,Uniao de Freguesias de Setubal,Partido B,8
80,Uniao de Freguesias de Setubal,Partido D,2
81,Uniao de Freguesias de Setubal,Partido A,0
81,Uniao de Freguesias de Setubal,Partido G,0
81,Uniao de Freguesias de Setubal,Partido F,0
81,Uniao de Freguesias de Setubal,Partido C,0
81,Uniao de Freguesias de Setubal,Partido E,0
81,Uniao de Freguesias de Setubal,Partido B,0
81,Uniao de Freguesias de Setubal,Partido D,0
82,Uniao de Freguesias de Setubal,Partido A,117
82,Uniao de Freguesias de Setubal,Partido G,9
82,Uniao de Freguesias de Setubal,Partido F,87
82,Uniao de Freguesias de Setubal,Partido C,235
82,Uniao de Freguesias de Setubal,Partido E,26
82,Uniao de Freguesias de Setubal,Partido B,4
82,Uniao de Freguesias de Setubal,Partido D,1
83,Uniao de Freguesias de Setubal,Partido A,113
83,Uniao de Freguesias de Setubal,Partido G,14
83,Uniao de Freguesias de Setubal,Partido F,101
83,Uniao de Freguesias de Setubal,Partido C,275
83,Uniao de Freguesias de Setubal,Partido E,30
83,Uniao de Freguesias de Setubal,Partido B,4
83,Uniao de Freguesias de Setubal,Partido D,3
84,Uniao de Freguesias de Setubal,Partido A,117
84,Uniao de Freguesias de Setubal,Partido G,7
84,Uniao de Freguesias de Setubal,Partido F,97
84,Uniao de Freguesias de Setubal,Partido C,300
84,Uniao de Freguesias de Setubal,Partido E,35
84,Uniao de Freguesias de Setubal,Partido B,9
84,Uniao de Freguesias de Setubal,Partido D,3
85,Uniao de Freguesias de Setubal,Partido A,110
85,Uniao de Freguesias de Setubal,Partido G,10
85,Uniao de Freguesias de Setubal,Partido F,102
85,Uniao de Freguesias de Setubal,Partido C,330
85,Uniao de Freguesias de Setubal,Partido E,34
85,Uniao de Freguesias de Setubal,Partido B,12
85,Uniao de Freguesias de Setubal,Partido D,2
86,Uniao de Freguesias de Setubal,Partido A,86
86,Uniao de Freguesias de Setubal,Partido G,13
86,Uniao de Freguesias de Setubal,Partido F,88
86,Uniao de Freguesias de Setubal,Partido C,336
86,Uniao de Freguesias de Setubal,Partido E,28
86,Uniao de Freguesias de Setubal,Partido B,9
86,Uniao de Freguesias de Setubal,Partido D,1
87,Uniao de Freguesias de Setubal,Partido A,63
87,Uniao de Freguesias de Setubal,Partido G,3
87,Uniao de Freguesias de Setubal,Partido F,51
87,Uniao de Freguesias de Setubal,Partido C,168
87,Uniao de Freguesias de Setubal,Partido E,25
87,Uniao de Freguesias de Setubal,Partido B,5
87,Uniao de Freguesias de Setubal,Partido D,3
88,Uniao de Freguesias de Azeitao,Partido G,1
88,Uniao de Freguesias de Azeitao,Partido C,101
